name,cafe,playground,toilets,accessible_toilet,pets_corner,miniature_railway,basketball,bowling,football,tennis,bmx_track,skate_park,outdoor_gym,website,twitter,green_flag,lon,lat
Abbotsfield Park,0,1,0,0,0,1,0,1,0,1,0,0,0,,,,-2.368251,53.447586
Ashton Park,0,1,1,0,0,0,1,1,1,1,0,0,0,https://www.facebook.com/ashtononmerseypark,,,-2.335104,53.430865
Broadway Park,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,-2.366656,53.458505
Cross Lane Park,0,1,0,0,0,0,0,1,1,0,1,1,0,https://www.facebook.com/friendsofcrosslane,,,-2.422104,53.413872
Dainewell Park,0,1,0,0,0,0,0,0,0,0,1,0,0,,DainewellPark,,-2.359295,53.426076
Davies Road,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,-2.421377,53.419693
Davyhulme Park,0,1,0,0,0,0,1,1,1,1,0,1,0,,DavyhulmePark,http://www.greenflagaward.org.uk/park-summary/?park=3508,-2.353086,53.453563
Denzel Gardens and the Devisdale,0,0,1,0,0,0,0,0,0,0,0,0,0,http://www.friendsofdenzellanddevisdale.com,,http://www.greenflagaward.org.uk/park-summary/?park=414,-2.370530,53.383486
Flixton Park,0,1,0,0,0,0,0,0,0,0,0,0,0,,,http://www.greenflagaward.org.uk/park-summary/?park=1300,-2.380105,53.446505
Golden Hill Park,0,1,0,0,0,0,0,1,1,0,0,0,0,,FriendsofGHPark,,-2.354992,53.451857
Gorse Hill Park,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,-2.295775,53.454900
Halecroft Park,0,1,1,0,0,0,0,0,1,1,0,0,0,,,,-2.319359,53.372767
Hullard Park,0,1,0,0,0,0,0,1,1,0,0,0,0,https://www.facebook.com/hullardparkm16,HullardPark,http://www.greenflagaward.org.uk/park-summary/?park=280,-2.267944,53.461896
John Leigh Park,0,1,1,1,1,0,0,1,0,1,0,0,0,https://www.facebook.com/FriendsofJohnLeighPark,JohnLeighPark,http://www.greenflagaward.org.uk/park-summary/?park=2824,-2.355713,53.391590
Longford Park,1,1,1,1,1,0,1,1,1,1,0,0,0,https://friendsoflongfordpark.org.uk,Longford_Park,,-2.292883,53.446166
Lostock Park,0,1,0,0,0,0,0,1,1,0,0,1,0,https://www.facebook.com/FriendsOfLostockPark,,http://www.greenflagaward.org.uk/park-summary/?park=3104,-2.329781,53.458656
Marje Kelly Park,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,-2.292201,53.452643
Moor Nook Park,0,1,0,0,0,0,1,1,1,0,0,0,0,https://www.facebook.com/moornookpark,MoorNookPark,,-2.305736,53.415768
Moss Park,0,1,0,0,0,0,0,0,1,0,0,0,0,https://friendsofmosspark.wordpress.com,,,-2.321431,53.449354
Navigation Park,0,0,1,0,0,0,0,1,1,0,0,0,0,https://www.facebook.com/navigationrec,,,-2.345813,53.397527
Newton Park,0,1,0,0,0,0,0,0,1,0,0,0,1,https://www.facebook.com/friendsofnewtonpark,,,-2.341675,53.406699
Pickering Lodge,0,1,0,0,0,0,1,1,1,1,0,0,0,http://www.pickeringlodgepark.co.uk,PickeringLodge,,-2.333297,53.398492
Seymour Park,0,1,0,0,0,0,1,0,1,0,0,0,0,https://www.facebook.com/groups/FOSPM16,fospm16,,-2.272662,53.459692
Stamford Park,0,0,1,0,0,0,1,1,1,1,0,0,0,http://www.friendsofstamfordpark.org.uk,StamfordPark,,-2.341851,53.384219
Victoria Park,1,1,1,0,0,0,1,1,1,1,0,0,0,https://fovps.org.uk,FOVPStretford,http://www.greenflagaward.org.uk/park-summary/?park=666,-2.311139,53.448576
Walkden Gardens,0,0,1,0,0,0,0,0,0,0,0,0,0,http://walkdengardens.co.uk,WalkdenGardens,http://www.greenflagaward.org.uk/park-summary/?park=670,-2.312287,53.418328
Walton Park,0,1,1,0,0,1,0,1,1,1,0,0,0,https://www.facebook.com/Friends-of-Walton-Park-Sale-742135205822238,,http://www.greenflagaward.org.uk/park-summary/?park=2822,-2.330738,53.414503
Weathercock Farm,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,-2.344566,53.425497
Woodheys Park,1,1,1,0,0,0,0,0,1,0,0,0,0,https://woodheyspark.org,,http://www.greenflagaward.org.uk/park-summary/?park=2823,-2.353723,53.410017
Woodsend Park,0,1,0,0,0,0,0,0,1,0,0,0,0,https://www.facebook.com/friendsofwoodsendpark,,,-2.393415,53.451785
Woodstock Park,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,-2.363656,53.402408
Worthington Park,0,1,0,0,0,0,0,1,0,0,0,0,0,https://worthingtonpark.org.uk,worthpark,http://www.greenflagaward.org.uk/park-summary/?park=711,-2.308763,53.424423